"","x"
"1779","낮병동 입원료, 의사3·간호7등급"
"1780","낮병동 입원료, 의사3·간호8등급"
"1781","낮병동 입원료, 의사4·간호5등급"
"1782","낮병동 입원료, 의사4·간호1등급"
"1783","낮병동 입원료, 의사4·간호2등급"
"1784","낮병동 입원료, 의사4·간호3등급"
"1785","낮병동 입원료, 의사4·간호4등급"
"1786","낮병동 입원료, 의사4·간호6등급"
"1787","낮병동 입원료, 의사4·간호7등급"
"1788","낮병동 입원료, 의사4·간호8등급"
"1789","낮병동 입원료, 의사5·간호5등급"
"1790","낮병동 입원료, 의사5·간호1등급"
"1791","낮병동 입원료, 의사5·간호2등급"
"1792","낮병동 입원료, 의사5·간호3등급"
"1793","낮병동 입원료, 의사5·간호4등급"
"1794","낮병동 입원료, 의사5·간호6등급"
"1795","낮병동 입원료, 의사5·간호7등급"
"1796","낮병동 입원료, 의사1(전문의수50%이상)·간호5등급"
"1797","낮병동 입원료, 의사1(전문의수50%이상)·간호1등급"
"1798","낮병동 입원료, 의사1(전문의수50%이상)·간호2등급"
"1799","낮병동 입원료, 의사1(전문의수50%이상)·간호3등급"
"1800","낮병동 입원료, 의사1(전문의수50%이상)·간호4등급"
"1801","낮병동 입원료, 의사1(전문의수50%이상)·간호6등급"
"1802","낮병동 입원료, 의사1(전문의수50%이상)·간호7등급"
"1803","낮병동 입원료, 의사1(전문의수50%이상)·간호8등급"
"1804","낮병동 입원료, 의사2·간호1-5등급 환자수대간호사수비18:1초과"
"1805","낮병동 입원료, 의사2·간호6등급 환자수대간호사수비18:1초과"
"1806","낮병동 입원료, 의사2·간호7등급 환자수대간호사수비18:1초과"
"1807","낮병동 입원료, 의사1(전문의수50%미만)·간호1-5등급 환자수대간호사수비18:1초과"
"1808","낮병동 입원료, 의사1(전문의수50%미만)·간호6등급 환자수대간호사수비18:1초과"
"1809","낮병동 입원료, 의사1(전문의수50%미만)·간호7등급 환자수대간호사수비18:1초과"
"1810","낮병동 입원료, 의사3·간호1-5등급 환자수대간호사수비18:1초과"
"1811","낮병동 입원료, 의사3·간호6등급 환자수대간호사수비18:1초과"
"1812","낮병동 입원료, 의사3·간호7등급 환자수대간호사수비18:1초과"
"1813","낮병동 입원료, 의사4·간호1-5등급 환자수대간호사수비18:1초과"
"1814","낮병동 입원료, 의사4·간호6등급 환자수대간호사수비18:1초과"
"1815","낮병동 입원료, 의사4·간호7등급 환자수대간호사수비18:1초과"
"1816","낮병동 입원료, 의사5·간호1-5등급 환자수대간호사수비18:1초과"
"1817","낮병동 입원료, 의사5·간호6등급 환자수대간호사수비18:1초과"
"1818","낮병동 입원료, 의사5·간호7등급 환자수대간호사수비18:1초과"
"1819","낮병동 입원료, 의사1(전문의수50%이상)·간호1-5등급 환자수대간호사수비18:1초과"
"1820","낮병동 입원료, 의사1(전문의수50%이상)·간호6등급 환자수대간호사수비18:1초과"
"1821","낮병동 입원료, 의사1(전문의수50%이상)·간호7등급 환자수대간호사수비18:1초과"
"1822","신생아실 입원료-질병이 없는 신생아-상급종합병원"
"1823","모자동실입원료-상급종합병원"
"1824","신생아모유수유간호관리료-상급종합병원"
"1825","신생아실 입원료-질병이 있는 신생아-상급종합병원"
"1826","신생아실 입원료-질병이 없는 신생아-종합병원"
"1827","모자동실입원료-종합병원"
"1828","신생아모유수유간호관리료-종합병원"
"1829","신생아실 입원료-질병이 있는 신생아-종합병원"
"1830","신생아실 입원료-질병이 없는 신생아-병원, 치과병원·한방병원 내 의과"
"1831","모자동실입원료-병원, 치과병원·한방병원 내  의과"
"1832","신생아모유수유간호관리료-병원, 치과병원·한방병원 내  의과"
"1833","신생아실 입원료-질병이 있는 신생아-병원, 치과병원·한방병원 내 의과"
"1834","신생아실 입원료-질병이 없는 신생아-의원,보건의료원 의과"
"1835","모자동실입원료-의원,보건의료원 의과"
"1836","신생아모유수유간호관리료-의원,보건의료원 의과"
"1837","신생아실 입원료-질병이 있는 신생아-의원,보건의료원 의과"
"1838","감염예방·관리료-상급종합병원, 종합병원 1등급"
"1839","감염예방·관리료-상급종합병원, 종합병원 2등급"
"1840","감염예방·관리료-상급종합병원, 종합병원 3등급"
"1841","감염예방·관리료-병원 1등급"
"1842","감염예방·관리료-병원 2등급"
"1843","감염예방·관리료-병원 3등급"
"1844","협의진찰료-상급종합병원,상급종합병원에 설치된 치과대학부속치과병원 내 의·치과"
"1845","중환자실 입원시 협의진찰료-상급종합병원,상급종합병원에 설치된 치과대학부속치과병원 내 의·치과"
"1846","협의진찰료-종합병원,상급종합병원에 설치된 경우를 제외한 치과대학부속치과병원 내 의·치과"
"1847","협의진찰료-병원, 한방병원, 치과병원 내 의·치과"
"1848","협의진찰료-요양병원,보건의료원 내 의·치과"
"1849","협의진찰료-의원,치과의원"
"1850","다학제통합진료료-참여 의사 수 3인"
"1851","다학제통합진료료-참여 의사 수 4인"
"1852","다학제통합진료료-참여 의사 수 5인"
"1853","다학제통합진료료-참여 의사 수 6인"
"1854","다학제통합진료료-참여 의사 수 7인"
"1855","다학제통합진료료-참여 의사 수 8인"
"1856","다학제통합진료료-참여 의사 수 9인 이상"
"1857","집중영양치료료-상급종합병원"
"1858","집중영양치료료-종합병원"
"1859","중환자실 입원료-소아 중환자실 입원료-1인 이상 전담의"
"1860","중환자실 입원료-소아 중환자실 입원료-1인의 전담전문의"
"1861","중환자실 입원료-(상급종합병원,종합병원)-일반 중환자실 입원료-1인 이상 전담의"
"1862","중환자실 입원료-(상급종합병원,종합병원)-일반 중환자실 입원료-1인 이상 전담전문의"
"1863","중환자실 입원료-(상급종합병원,종합병원)-소아 중환자실 입원료-1인 이상 전담의"
"1864","중환자실 입원료-(상급종합병원,종합병원)-소아 중환자실 입원료-1인의 전담전문의"
"1865","중환자실 입원료-신생아 중환자실 입원료-2인 이상 전담전문의-10:1이상 20:1미만"
"1866","중환자실 입원료-신생아 중환자실 입원료-2인 이상 전담전문의-10:1미만"
"1867","중환자실 입원료-소아 중환자실 입원료-2인 이상 전담전문의-10:1이상 20:1미만"
"1868","중환자실 입원료-소아 중환자실 입원료-2인 이상 전담전문의-10:1미만"
"1869","중환자실 입원료-(상급종합병원,종합병원)-소아 중환자실 입원료-2인 이상 전담전문의-10:1이상 20:1미만"
"1870","중환자실 입원료-(상급종합병원,종합병원)-소아 중환자실 입원료-2인 이상 전담전문의-10:1미만"
"1871","종합병원-8등급간호관리료적용 일반중환자실입원료-의료취약지역에 해당되지 아니하는 요양기관"
"1872","종합병원-9등급간호관리료적용 일반중환자실입원료"
"1873","병원, 치과병원, 한방병원 내 의·치과-7등급간호관리료적용 일반중환자실입원료"
"1874","병원, 치과병원, 한방병원 내 의·치과-4등급간호관리료적용 일반중환자실입원료"
"1875","병원, 치과병원, 한방병원 내 의·치과-5등급간호관리료적용 일반중환자실입원료"
"1876","병원, 치과병원, 한방병원 내 의·치과-6등급간호관리료적용 일반중환자실입원료"
"1877","병원, 치과병원, 한방병원 내 의·치과-8등급간호관리료적용 일반중환자실입원료-의료취약지역에 해당되지 아니하는 요양기관"
"1878","병원, 치과병원, 한방병원 내 의·치과-9등급간호관리료적용 일반중환자실입원료"
"1879","요양병원 의ㆍ치과-중환자실입원료, 간호7등급"
"1880","요양병원 의ㆍ치과-중환자실입원료, 간호1등급"
"1881","요양병원 의ㆍ치과-중환자실입원료, 간호2등급"
"1882","요양병원 의ㆍ치과-중환자실입원료, 간호3등급"
"1883","요양병원 의ㆍ치과-중환자실입원료, 간호4등급"
"1884","요양병원 의ㆍ치과-중환자실입원료, 간호5등급"
"1885","요양병원 의ㆍ치과-중환자실입원료, 간호6등급"
"1886","요양병원 의ㆍ치과-중환자실입원료, 간호8등급"
"1887","요양병원 의ㆍ치과-중환자실입원료, 간호9등급"
"1888","격리실 입원료-일반 격리실 입원료-상급종합병원-1인용"
"1889","격리실 입원료-일반 격리실 입원료-상급종합병원-다인용"
"1890","격리실 입원료-일반 격리실 입원료-상급종합병원-2인용"
"1891","격리실 입원료-음압 격리실 입원료-상급종합병원-1인용"
"1892","격리실 입원료-음압 격리실 입원료-상급종합병원-다인용"
"1893","격리실 입원료-일반 격리실 입원료-종합병원-1인용"
"1894","격리실 입원료-일반 격리실 입원료-종합병원-다인용"
"1895","격리실 입원료-일반 격리실 입원료-종합병원-2인용"
"1896","격리실 입원료-음압 격리실 입원료-종합병원-1인용"
"1897","격리실 입원료-음압 격리실 입원료-종합병원-다인용"
"1898","격리실 입원료-일반 격리실 입원료-병원, 치과병원·한방병원 내 의·치과-1인용"
"1899","격리실 입원료-일반 격리실 입원료-병원, 치과병원·한방병원 내 의·치과-다인용"
"1900","격리실 입원료-일반 격리실 입원료-병원, 치과병원·한방병원 내 의·치과-2인용"
"1901","격리실 입원료-음압 격리실 입원료-병원, 치과병원·한방병원 내 의·치과- 1인용"
"1902","격리실 입원료-음압 격리실 입원료-병원, 치과병원·한방병원 내 의·치과- 다인용"
"1903","격리실 입원료-일반 격리실 입원료-의원, 치과의원, 보건의료원 의·치과- 1인용"
"1904","격리실 입원료-일반 격리실 입원료-의원, 치과의원, 보건의료원 의·치과- 다인용"
"1905","격리실 입원료-일반 격리실 입원료-의원, 치과의원, 보건의료원 의·치과-2인용"
"1906","격리실 입원료-음압 격리실 입원료-의원, 치과의원, 보건의료원 의·치과- 1인용"
"1907","격리실 입원료-음압 격리실 입원료-의원, 치과의원, 보건의료원 의·치과- 다인용"
"1908","격리실 입원료-1인용"
"1909","격리실 입원료-2인용"
"1910","격리실 입원료-다인용"
"1911","외래환자 의약품관리료[방문당]-상급종합병원"
"1912","외래환자 의약품관리료[방문당]-종합병원"
"1913","외래환자 의약품관리료[방문당]-병원, 치과병원, 요양병원·한방병원 내 의·치과"
"1914","외래환자 의약품관리료-포장단위(병,팩)지급(의원급 의·치과)"
"1915","입원환자 의약품관리료-포장단위(병,팩)지급(상급종합병원)"
"1916","입원환자 의약품관리료-1일분(상급종합병원)"
"1917","입원환자 의약품관리료-2일분(상급종합병원)"
"1918","입원환자 의약품관리료-3일분(상급종합병원)"
"1919","입원환자 의약품관리료-4일분(상급종합병원)"
"1920","입원환자 의약품관리료-5일분(상급종합병원)"
"1921","입원환자 의약품관리료-6일분(상급종합병원)"
"1922","입원환자 의약품관리료-7일분(상급종합병원)"
"1923","입원환자 의약품관리료-8일분(상급종합병원)"
"1924","입원환자 의약품관리료-9일분(상급종합병원)"
"1925","입원환자 의약품관리료-10일분(상급종합병원)"
"1926","입원환자 의약품관리료-11일분(상급종합병원)"
"1927","입원환자 의약품관리료-12일분(상급종합병원)"
"1928","입원환자 의약품관리료-13일분(상급종합병원)"
"1929","입원환자 의약품관리료-14일분(상급종합병원)"
"1930","입원환자 의약품관리료-15일분(상급종합병원)"
"1931","입원환자 의약품관리료-16~30일분(상급종합병원)"
"1932","입원환자 의약품관리료-31일분 이상(상급종합병원)"
"1933","입원환자 의약품관리료-포장단위(병,팩)지급(종합병원)"
"1934","입원환자 의약품관리료-1일분(종합병원)"
"1935","입원환자 의약품관리료-2일분(종합병원)"
"1936","입원환자 의약품관리료-3일분(종합병원)"
"1937","입원환자 의약품관리료-4일분(종합병원)"
"1938","입원환자 의약품관리료-5일분(종합병원)"
"1939","입원환자 의약품관리료-6일분(종합병원)"
"1940","입원환자 의약품관리료-7일분(종합병원)"
"1941","입원환자 의약품관리료-8일분(종합병원)"
"1942","입원환자 의약품관리료-9일분(종합병원)"
"1943","입원환자 의약품관리료-10일분(종합병원)"
"1944","입원환자 의약품관리료-11일분(종합병원)"
"1945","입원환자 의약품관리료-12일분(종합병원)"
"1946","입원환자 의약품관리료-13일분(종합병원)"
"1947","입원환자 의약품관리료-14일분(종합병원)"
"1948","입원환자 의약품관리료-15일분(종합병원)"
"1949","입원환자 의약품관리료-16~30일분(종합병원)"
"1950","입원환자 의약품관리료-31일분 이상(종합병원)"
"1951","입원환자 의약품관리료-포장단위(병,팩)지급(병원, 치과병원, 요양병원·한방병원 내 의·치과)"
"1952","입원환자 의약품관리료-1일분(병원, 치과병원, 요양병원·한방병원 내 의·치과)"
"1953","입원환자 의약품관리료-2일분(병원, 치과병원, 요양병원·한방병원 내 의·치과)"
"1954","입원환자 의약품관리료-3일분(병원, 치과병원, 요양병원·한방병원 내 의·치과)"
"1955","입원환자 의약품관리료-4일분(병원, 치과병원, 요양병원·한방병원 내 의·치과)"
"1956","입원환자 의약품관리료-5일분(병원, 치과병원, 요양병원·한방병원 내 의·치과)"
"1957","입원환자 의약품관리료-6일분(병원, 치과병원, 요양병원·한방병원 내 의·치과)"
"1958","입원환자 의약품관리료-7일분(병원, 치과병원, 요양병원·한방병원 내 의·치과)"
"1959","입원환자 의약품관리료-8일분(병원, 치과병원, 요양병원·한방병원 내 의·치과)"
"1960","입원환자 의약품관리료-9일분(병원, 치과병원, 요양병원·한방병원 내 의·치과)"
"1961","입원환자 의약품관리료-10일분(병원, 치과병원, 요양병원·한방병원 내 의·치과)"
"1962","입원환자 의약품관리료-11일분(병원, 치과병원, 요양병원·한방병원 내 의·치과)"
"1963","입원환자 의약품관리료-12일분(병원, 치과병원, 요양병원·한방병원 내 의·치과)"
"1964","입원환자 의약품관리료-13일분(병원, 치과병원, 요양병원·한방병원 내 의·치과)"
"1965","입원환자 의약품관리료-14일분(병원, 치과병원, 요양병원·한방병원 내 의·치과)"
"1966","입원환자 의약품관리료-15일분(병원, 치과병원, 요양병원·한방병원 내 의·치과)"
"1967","입원환자 의약품관리료-16~30일분(병원, 치과병원, 요양병원·한방병원 내 의·치과)"
"1968","입원환자 의약품관리료-31일분 이상(병원, 치과병원, 요양병원·한방병원 내 의·치과)"
"1969","외래환자 의약품관리료-1일분(의원,치과의원,보건의료원 의·치과)"
"1970","외래환자 의약품관리료-2일분(의원,치과의원,보건의료원 의·치과)"
"1971","외래환자 의약품관리료-3일분(의원,치과의원,보건의료원 의·치과)"
"1972","외래환자 의약품관리료-4일분(의원,치과의원,보건의료원 의·치과)"
"1973","외래환자 의약품관리료-5일분(의원,치과의원,보건의료원 의·치과)"
"1974","외래환자 의약품관리료-6일분(의원,치과의원,보건의료원 의·치과)"
"1975","외래환자 의약품관리료-7일분(의원,치과의원,보건의료원 의·치과)"
"1976","외래환자 의약품관리료-8일분(의원,치과의원,보건의료원 의·치과)"
"1977","외래환자 의약품관리료-9일분(의원,치과의원,보건의료원 의·치과)"
"1978","외래환자 의약품관리료-10일분(의원,치과의원,보건의료원 의·치과)"
"1979","외래환자 의약품관리료-11일분(의원,치과의원,보건의료원 의·치과)"
"1980","외래환자 의약품관리료-12일분(의원,치과의원,보건의료원 의·치과)"
"1981","외래환자 의약품관리료-13일분(의원,치과의원,보건의료원 의·치과)"
"1982","외래환자 의약품관리료-14일분(의원,치과의원,보건의료원 의·치과)"
"1983","외래환자 의약품관리료-15일분(의원,치과의원,보건의료원 의·치과)"
"1984","외래환자 의약품관리료-16~30일분(의원,치과의원,보건의료원 의·치과)"
"1985","외래환자 의약품관리료-31일분이상(의원,치과의원,보건의료원 의·치과)"
"1986","입원환자 의약품관리료-포장단위(병,팩)지급(의원급 의·치과)"
"1987","입원환자 의약품관리료-1일분(의원,치과의원,보건의료원 의·치과)"
"1988","입원환자 의약품관리료-2일분(의원,치과의원,보건의료원 의·치과)"
"1989","입원환자 의약품관리료-3일분(의원,치과의원,보건의료원 의·치과)"
"1990","입원환자 의약품관리료-4일분(의원,치과의원,보건의료원 의·치과)"
"1991","입원환자 의약품관리료-5일분(의원,치과의원,보건의료원 의·치과)"
"1992","입원환자 의약품관리료-6일분(의원,치과의원,보건의료원 의·치과)"
"1993","입원환자 의약품관리료-7일분(의원,치과의원,보건의료원 의·치과)"
"1994","입원환자 의약품관리료-8일분(의원,치과의원,보건의료원 의·치과)"
"1995","입원환자 의약품관리료-9일분(의원,치과의원,보건의료원 의·치과)"
"1996","입원환자 의약품관리료-10일분(의원,치과의원,보건의료원 의·치과)"
"1997","입원환자 의약품관리료-11일분(의원,치과의원,보건의료원 의·치과)"
"1998","입원환자 의약품관리료-12일분(의원,치과의원,보건의료원 의·치과)"
"1999","입원환자 의약품관리료-13일분(의원,치과의원,보건의료원 의·치과)"
"2000","입원환자 의약품관리료-14일분(의원,치과의원,보건의료원 의·치과)"
"2001","입원환자 의약품관리료-15일분(의원,치과의원,보건의료원 의·치과)"
"2002","입원환자 의약품관리료-16~30일분(의원,치과의원,보건의료원 의·치과)"
"2003","입원환자 의약품관리료-31일분 이상(의원,치과의원,보건의료원 의·치과)"
"2004","치과 단순 안전관찰료(1일당)"
"2005","치과 복합 안전관찰료(1일당)"
"2006","치과 단순 안전관찰료(1일당)-장애인가산(뇌병변,지적,정신,자폐)"
"2007","치과 복합 안전관찰료(1일당)-장애인가산(뇌병변,지적,정신,자폐)"
"2008","상급종합병원 납차폐특수치료실입원료"
"2009","종합병원 납차폐특수치료실입원료"
"2010","병원,치과병원,한방병원 내 의·치과 납차폐특수치료실입원료"
"2011","의원,치과의원,보건의료원 내 의·치과납차폐특수치료실입원료"
"2012","호산구수(혈액)-[관찰판정-현미경]"
"2013","호산구수(혈액)-[혈구세포-장비측정]"
"2014","적혈구침강속도[관찰판정-육안·장비측정]_Infrared Ray법, Spin법 등을 이용한 신속검사법"
"2015","적혈구침강속도[관찰판정-육안·장비측정] -Westergren, Wintrobe Tube 등을 이용한 육안검사법"
"2016","C-반응성단백-[일반면역검사](정성)"
"2017","C-반응성단백-[일반면역검사]-반정량(역가)"
"2018","C-반응성단백-[정밀면역검사](정량)"
"2019","C-반응성단백-[화학반응-장비측정(간이검사)]"
"2020","분변 칼프로텍틴-[일반면역검사]정성-간이검사"
"2021","분변 칼프로텍틴-[일반면역검사]정량-간이검사"
"2022","분변 칼프로텍틴-[정밀면역검사](정량)"
"2023","프로칼시토닌-[일반면역검사]-정량"
"2024","프로칼시토닌-[일반면역검사]-반정량"
"2025","프로칼시토닌-[정밀면역검사](정량)"
"2026","분변-분변잠혈[화학반응-육안검사]"
"2027","분변-분변잠혈[일반면역검사]"
"2028","분변-분변잠혈[정밀면역검사(정량)]"
"2029","철대사검사-[정밀면역검사]_훼리틴"
"2030","철대사검사-[정밀면역검사]-핵의학적 방법_훼리틴"
"2031","태아혈색소-[화학반응-장비측정]"
"2032","태아혈색소-[유세포분석]"
"2033","조혈인자검사[정밀면역검사]_에리스로포이에틴"
"2034","조혈인자검사[정밀면역검사]-핵의학적 방법_에리스로포이에틴"
"2035","B세포표면면역글로불린(종목당)-[면역형광법]"
"2036","B세포표면면역글로불린(종목당)-[면역형광법]-7종목 초과시 추가 1종목당"
"2037","B세포표면면역글로불린(종목당)-[유세포분석]"
"2038","B세포표면면역글로불린(종목당)-[유세포분석]-7종목 초과시 추가 1종목당"
"2039","세포표지검사(단세포군항체별)-[면역형광법]"
"2040","세포표지검사(단세포군항체별)-[유세포분석]"
"2041","특수염색[관찰판정-현미경]_LAP Score"
"2042","특수염색[관찰판정-현미경]_PAS 염색"
"2043","응고기능기본검사-트롬보플라스틴형성시험"
"2044","응고기능기본검사-활성화응고시간-간이검사"
"2045","헤파린검사_정량"
"2046","헤파린검사_중화시험"
"2047","섬유소분해산물(FDP)-[일반면역검사](정성)"
"2048","섬유소분해산물(FDP)-[일반면역검사](반정량(역가))"
"2049","섬유소분해산물(FDP)-[정밀면역검사](정량)"
"2050","베타트롬보글로불린[정밀면역검사]"
"2051","베타트롬보글로불린[정밀면역검사]-핵의학적 방법"
"2052","루프스항응고인자[응고기능검사]-선별"
"2053","루프스항응고인자[응고기능검사]-확진"
"2054","항트롬빈Ⅲ측정-[응고기능검사]"
"2055","항트롬빈Ⅲ측정-[정밀면역검사]"
"2056","응고인자단백 Protein-C-[응고기능검사]"
"2057","응고인자단백 Protein-C-[정밀면역검사]"
"2058","응고인자단백 Protein-S-[응고기능검사]"
"2059","응고인자단백 Protein-S-[정밀면역검사]"
"2060","프리칼리크레인[정밀면역검사]-(정성)"
"2061","프리칼리크레인[정밀면역검사]-(정량)"
"2062","플라즈미노겐-[응고기능검사]"
"2063","플라즈미노겐-[정밀면역검사]"
"2064","플라즈미노겐 항활성체-[응고기능검사]"
"2065","플라즈미노겐 항활성체-[정밀면역검사]"
"2066","알파2-항플라즈민 검사-[응고기능검사]"
"2067","알파2-항플라즈민 검사-[정밀면역검사]"
"2068","혈소판기능검사-혈소판복합기능검사[응고기능검사]_에이디피"
"2069","혈소판기능검사-혈소판복합기능검사[응고기능검사]_Epinephrine"
"2070","혈소판기능검사-혈소판응집능검사[응고기능검사]_리스토세틴"
"2071","혈소판기능검사-혈소판응집능검사[응고기능검사]_아라키돈산(Arachidonic Acid)"
"2072","혈소판기능검사-혈소판응집능검사[응고기능검사]_에이디피"
"2073","혈소판기능검사-혈소판응집능검사[응고기능검사]_Epinephrine"
"2074","혈소판기능검사-혈소판 약물 반응검사 [간이검사]_아스피린"
"2075","혈소판기능검사-혈소판 약물 반응검사 [간이검사]_P2Y12"
"2076","벤스존스단백검사-[화학반응-육안검사](정성)"
"2077","벤스존스단백검사-[정밀면역검사](정량)"
"2078","Rh-Hr 유전자형검사-RhD 유전자형검사[핵산증폭]"
"2079","Rh-Hr 유전자형검사-RhD 유전자형검사[염기서열검사]"
"2080","비예기항체검사[일반면역검사]-선별"
"2081","비예기항체검사[일반면역검사]-동정"
"2082","일반면역검사-세균항체(균종별)_스트렙토코커스항체(스트렙토자임항체)"
"2083","일반면역검사-세균항체(균종별)_스트렙토코커스항체(항스트렙토키나제항체)"
"2084","B형간염DNA정량검사(DNA Probe법)"
"2085","B형간염DNA정량검사(DNA Probe법)-핵의학적 방법"
"2086","직접빌리루빈[화학반응-장비측정]"
"2087","직접빌리루빈[화학반응-장비측정(간이검사)]"
"2088","총빌리루빈[화학반응-장비측정]"
"2089","총빌리루빈[화학반응-장비측정(간이검사)]"
"2090","총단백[화학반응-장비측정]"
"2091","총단백[화학반응-장비측정(간이검사)]"
"2092","알칼리포스파타제[화학반응-장비측정]"
"2093","알칼리포스파타제[화학반응-장비측정(간이검사)]"
"2094","알부민[화학반응-장비측정]"
"2095","알부민[화학반응-장비측정(간이검사)]"
"2096","유로빌리노겐[화학반응-육안검사](정성)"
"2097","유로빌리노겐[화학반응-장비측정](정량)"
"2098","콜리글리신[정밀면역검사]"
"2099","콜리글리신[정밀면역검사]-핵의학적 방법"
"2100","요적혈구분포도검사-[관찰판정-육안·장비측정]"
"2101","요적혈구분포도검사-[관찰판정-현미경]"
"2102","요 일반검사[화학반응-육안검사/화학반응-장비측정]-4종까지"
"2103","요 일반검사[화학반응-육안검사/화학반응-장비측정]-7종까지"
"2104","요 일반검사[화학반응-육안검사/화학반응-장비측정]-10종까지"
"2105","크레아티닌[화학반응-장비측정]"
"2106","크레아티닌[화학반응-장비측정(간이검사)]"
"2107","요산[화학반응-장비측정]"
"2108","요산[화학반응-장비측정(간이검사)]"
"2109","호중구 젤라티나제 관련 리포칼린-[정밀면역검사-간이검사]"
"2110","호중구 젤라티나제 관련 리포칼린-[정밀면역검사]"
"2111","미량알부민-[화학반응-육안검사(정성)]"
"2112","미량알부민-[정밀면역검사(정량)]"
"2113","미량알부민-[정밀면역검사(정량)]-핵의학적 방법"
"2114","케톤체-[화학반응-육안검사/화학반응-장비측정]"
"2115","케톤체-[화학반응-장비측정(간이검사)]"
"2116","케톤체-[정밀분광-질량분석]"
"2117","당검사[화학반응-장비측정][반정량]"
"2118","당검사[화학반응-장비측정][정량]"
"2119","헤모글로빈A1C-[화학반응-장비측정]"
"2120","헤모글로빈A1C-[일반면역검사-간이검사]"
"2121","헤모글로빈A1C-[정밀면역검사]"
"2122","헤모글로빈A1C-[분획분석]_크로마토그래피법"
"2123","헤모글로빈A1C-[분획분석]_크로마토그래피법-간이검사"
"2124","항갑상선글로불린항체[정밀면역검사]"
"2125","항갑상선글로불린항체[정밀면역검사]-핵의학적 방법"
"2126","프로락틴[정밀면역검사]"
"2127","프로락틴[정밀면역검사]-핵의학적 방법"
"2128","성장호르몬[정밀면역검사]"
"2129","성장호르몬[정밀면역검사]-핵의학적 방법"
"2130","안지오텐신 Ⅱ[정밀면역검사]"
"2131","안지오텐신 Ⅱ[정밀면역검사]-핵의학적 방법"
"2132","레닌활성도[정밀면역검사]"
"2133","레닌활성도[정밀면역검사]-핵의학적 방법"
"2134","베타에이취씨지[정밀면역검사]"
"2135","베타에이취씨지[정밀면역검사]-핵의학적 방법"
"2136","마이오글로빈-[화학반응-육안검사](정성)"
"2137","마이오글로빈-[정밀면역검사](정량)"
"2138","마이오글로빈-[정밀면역검사](정량)-핵의학적 방법"
"2139","심장표지자-ST2_정밀면역검사(정량)"
"2140","심장표지자-ST2_일반면역검사(정량)"
"2141","심장표지자-[정밀면역검사]_뇌성나트륨이뇨펩타이드"
"2142","심장표지자-[정밀면역검사]-핵의학적 방법_뇌성나트륨이뇨펩타이드"
"2143","베타투마이크로글로불린[정밀면역검사]"
"2144","베타투마이크로글로불린[정밀면역검사]-핵의학적 방법"
"2145","칼시토닌[정밀면역검사]"
"2146","칼시토닌[정밀면역검사]-핵의학적 방법"
"2147","싸이로글로불린[정밀면역검사]"
"2148","싸이로글로불린[정밀면역검사]-핵의학적 방법"
"2149","피브카 Ⅱ [정밀면역검사](정량)"
"2150","피브카 Ⅱ [정밀면역검사](정량)-핵의학적 방법"
"2151","펩시노겐[정밀면역검사]"
"2152","펩시노겐[정밀면역검사]-핵의학적 방법"
"2153","태아성암항원 [정밀면역검사]"
"2154","태아성암항원 [정밀면역검사]-핵의학적 방법"
"2155","신경특이에놀라제[정밀면역검사]"
"2156","신경특이에놀라제[정밀면역검사]-핵의학적 방법"
"2157","편평상피세포암항원[정밀면역검사]"
"2158","편평상피세포암항원[정밀면역검사]-핵의학적 방법"
"2159","조직폴리펩타이드항원[정밀면역검사]"
"2160","조직폴리펩타이드항원[정밀면역검사]-핵의학적 방법"
"2161","세로토닌-[정밀면역검사](정량)"
"2162","세로토닌-[정밀분광-질량분석](정량)"
"2163","Collagen IV [정밀면역검사]"
"2164","Collagen IV [정밀면역검사]_"
"2165","Collagen IV [정밀면역검사]-핵의학적 방법"
"2166","Collagen IV [정밀면역검사]-핵의학적 방법_"
"2167","단백분획(동정)[분획분석]-일반_단백면역고정전기영동(혈청)"
"2168","단백분획(동정)[분획분석]-일반_단백면역전기영동(혈청)"
"2169","단백분획(동정)[분획분석]-농축과정포함_단백면역고정전기영동(요또는체액)"
"2170","단백분획(동정)[분획분석]-농축과정포함_단백면역전기영동(요또는체액)"
"2171","부갑상선표지자[정밀면역검사]_부갑상선호르몬"
"2172","부갑상선표지자[정밀면역검사]-핵의학적 방법_부갑상선호르몬"
"2173","갈락토즈-[화학반응-장비측정]"
"2174","갈락토즈-[정밀면역검사]"
"2175","뮤코폴리사카라이드-[화학반응-육안검사](정성)"
"2176","뮤코폴리사카라이드-[화학반응-장비측정](정량)"
"2177","뮤코폴리사카라이드-분획분석 [전기영동 또는 TLC법]"
"2178","아미노산[분획분석](정성)"
"2179","아미노산[정밀분광-질량분석](정량)-4종목 이하(1종목당)"
"2180","아미노산[정밀분광-질량분석](정량)-5종목 이상"
"2181","포르피린계 화합물-[화학반응-장비측정]-(정성)"
"2182","포르피린계 화합물-[화학반응-장비측정]-(정량)"
"2183","포르피린계 화합물-[정밀분광-질량분석](정량)"
"2184","약물 및 독물-[정밀분광-질량분석]-질량(정성)-Drug Abuse Screen"
"2185","약물 및 독물-[정밀분광-질량분석]-질량(정성)-Drug Abuse Screen-고형조직"
"2186","약물 및 독물-[화학반응-장비측정]-(정량)_Mycophenolic Acid"
"2187","약물 및 독물-[화학반응-장비측정]-(정량)_고형조직_Mycophenolic Acid"
"2188","중금속·미량원소-[화학반응-장비측정]-(정성)_Ag (silver)"
