conceptSynonym,conceptName
만1세이상~만6세미만 공휴일-화상치료,More than 12 months~ Under 72 months Holiday- burn treatment
만1세미만-화상치료,Under 12 months - burn treatment
만1세미만 야간-화상치료,Under 12 months Nighttime- burn treatment
만1세미만-화상치료 응급,Under 12 months burn treatment Emergency
만1세미만 응급 야간-화상치료,Under 12 months Emergency Nighttime- burn treatment
만1세미만 응급 공휴일-화상치료,Under 12 months Emergency Holiday- burn treatment
만1세미만 공휴일-화상치료,Under 12 months Holiday- burn treatment
신생아-화상치료,Neonate - burn treatment
신생아 야간-화상치료,Neonate Nighttime- burn treatment
신생아-화상치료 응급,Neonate- burn treatment Emergency
신생아 응급 야간-화상치료,Neonate Emergency Nighttime- burn treatment
신생아 응급 공휴일-화상치료,Neonate Emergency Holiday- burn treatment
신생아 공휴일-화상치료,Neonate Holiday- burn treatment
제2의수술-화상치료,second surgery- burn treatment
제2의수술-화상치료(종병이상),second surgery- burn treatment(General hospital or higher)
(상급종합병원·종합병원)신생아 제2의수술(종병이상)-화상치료,"(Senior General Hospital, General Hospital), Neonate second surgery(General hospital or higher)- burn treatment"
(상급종합병원·종합병원)만1세미만 제2의수술(종병이상) 화상치료,"(Senior General Hospital, General Hospital), Under 12 months second surgery(General hospital or higher)- burn treatment"
(상급종합병원·종합병원)만1세이상~만6세미만 제2의수술(종병이상) 화상치료,"(Senior General Hospital, General Hospital), More than 12 months~ Under 72 months second surgery(General hospital or higher)- burn treatment"
야간 제2의수술-화상치료,Nighttime second surgery- burn treatment
야간 제2의수술-화상치료(종병이상),Nighttime second surgery- burn treatment(General hospital or higher)
(상급종합병원·종합병원)신생아 야간 제2의수술(종병이상)-화상치료,"(Senior General Hospital, General Hospital), Neonate Nighttime second surgery(General hospital or higher)- burn treatment"
(상급종합병원·종합병원)만1세미만 야간 제2의수술(종병이상) 화상치료,"(Senior General Hospital, General Hospital), Under 12 months Nighttime second surgery(General hospital or higher)- burn treatment"
(상급종합병원·종합병원)만1세이상~만6세미만 야간 제2의수술(종병이상) 화상치료,"(Senior General Hospital, General Hospital), More than 12 months~ Under 72 months Nighttime second surgery(General hospital or higher)- burn treatment"
제2의수술-화상치료 응급,second surgery- burn treatment Emergency
제2의수술-화상치료(종병이상) 응급,second surgery- burn treatment(General hospital or higher) Emergency
(상급종합병원·종합병원)신생아 제2의수술(종병이상)-화상치료  응급,"(Senior General Hospital, General Hospital), Neonate second surgery(General hospital or higher)- burn treatment Emergency"
(상급종합병원·종합병원)만1세미만 제2의수술(종병이상) 화상치료 응급,"(Senior General Hospital, General Hospital), Under 12 months second surgery(General hospital or higher)- burn treatment Emergency"
(상급종합병원·종합병원)만1세이상~만6세미만 제2의수술(종병이상) 화상치료 응급,"(Senior General Hospital, General Hospital), More than 12 months~ Under 72 months second surgery(General hospital or higher)- burn treatment Emergency"
야간 제2의수술-화상치료 응급,Nighttime second surgery- burn treatment Emergency
야간 제2의수술-화상치료(종병이상) 응급,Nighttime second surgery- burn treatment(General hospital or higher) Emergency
(상급종합병원·종합병원)신생아 응급 야간 제2의수술(종병이상)-화상치료,"(Senior General Hospital, General Hospital) Neonate Emergency Nighttime second surgery- burn treatment"
(상급종합병원·종합병원)만1세미만 응급 야간 제2의수술(종병이상) 화상치료,"(Senior General Hospital, General Hospital) Under 12 months Emergency Nighttime second surgery- burn treatment"
(상급종합병원·종합병원)만1세이상~만6세미만 응급 야간 제2의수술(종병이상) 화상치료,"(Senior General Hospital, General Hospital) More than 12 months~ Under 72 months Emergency Nighttime second surgery- burn treatment"
공휴일 제2의수술-화상치료 응급,Holiday second surgery- burn treatment Emergency
공휴일 제2의수술-화상치료(종병이상) 응급,Holiday second surgery- burn treatment(General hospital or higher) Emergency
(상급종합병원·종합병원)신생아 응급 공휴일 제2의수술(종병이상)-화상치료,"(Senior General Hospital, General Hospital), Neonate Emergency Holiday second surgery(General hospital or higher)- burn treatment "
(상급종합병원·종합병원)만1세미만 응급 공휴일 제2의수술(종병이상) 화상치료,"(Senior General Hospital, General Hospital), Under 12 months Emergency Holiday second surgery(General hospital or higher)- burn treatment "
(상급종합병원·종합병원)만1세이상~만6세미만 응급 공휴일 제2의수술(종병이상) 화상치료,"(Senior General Hospital, General Hospital), More than 12 months~ Under 72 months Emergency Holiday second surgery(General hospital or higher)- burn treatment "
공휴일 제2의수술-화상치료,Holiday second surgery- burn treatment 
공휴일 제2의수술-화상치료(종병이상),Holiday second surgery- burn treatment(General hospital or higher) 
(상급종합병원·종합병원)신생아 공휴일 제2의수술(종병이상)-화상치료,"(Senior General Hospital, General Hospital) Neonate Holiday second surgery(General hospital or higher)- burn treatment "
(상급종합병원·종합병원)만1세미만 공휴일 제2의수술(종병이상) 화상치료,"(Senior General Hospital, General Hospital) Under 12 months Holiday second surgery(General hospital or higher)- burn treatment "
(상급종합병원·종합병원)만1세이상~만6세미만 공휴일 제2의수술(종병이상) 화상치료,"(Senior General Hospital, General Hospital) More than 12 months~ Under 72 months Holiday second surgery(General hospital or higher)- burn treatment "
"(의원·치과의원(보건의료원포함))야간,토요,공휴-화상치료","Clinic, dental clinic(including Public Health and Medical care center) Nighttime, Saturday, holiday - burn treatment "
"(의원·치과의원(보건의료원포함))야간,토요,공휴 제2의수술-화상치료","Clinic, dental clinic(including Public Health and Medical care center) Nighttime, Saturday, holiday second surgery- burn treatment"
권역외상센터중증외상 화상치료 제2의수술(종병이상),Regional trauma center severe trauma burn treatment second surgery(General hospital or higher) 
권역외상센터중증외상 (상급종합병원·종합병원)신생아 제2의수술(종병이상) 화상치료,"Regional trauma center severe trauma (Senior General Hospital, General Hospital) Neonate second surgery(General hospital or higher)- burn treatment "
권역외상센터중증외상 (상급종합병원·종합병원)만1세미만 제2의수술(종병이상) 화상치료,"Regional trauma center severe trauma (Senior General Hospital, General Hospital) Under 12 months second surgery(General hospital or higher)- burn treatment "
권역외상센터중증외상 (상급종합병원·종합병원)만1세이상~만6세미만 제2의수술(종병이상) 화상치료,"Regional trauma center severe trauma (Senior General Hospital, General Hospital) More than 12 months~ Under 72 months second surgery(General hospital or higher)- burn treatment "
권역외상센터중증외상 화상치료 야간 제2의수술(종병이상),Regional trauma center severe trauma burn treatment Nighttime second surgery(General hospital or higher) 
권역외상센터중증외상 (상급종합병원·종합병원)신생아 제2의수술(종병이상) 화상치료 야간,"Regional trauma center severe trauma (Senior General Hospital, General Hospital) Neonate second surgery(General hospital or higher)- burn treatment Nighttime"
권역외상센터중증외상 (상급종합병원·종합병원)만1세미만 제2의수술(종병이상) 화상치료 야간,"Regional trauma center severe trauma (Senior General Hospital, General Hospital) Under 12 months second surgery(General hospital or higher)- burn treatment Nighttime"
권역외상센터중증외상 (상급종합병원·종합병원)만1세이상~만6세미만 제2의수술(종병이상) 화상치료 야간,"Regional trauma center severe trauma (Senior General Hospital, General Hospital) More than 12 months~ Under 72 months second surgery(General hospital or higher)- burn treatment Nighttime"
권역외상센터중증외상 화상치료 공휴 제2의수술(종병이상),Regional trauma center severe trauma burn treatment Holiday second surgery(General hospital or higher) 
권역외상센터중증외상 (상급종합병원·종합병원)신생아 제2의수술(종병이상) 화상치료 공휴,"Regional trauma center severe trauma (Senior General Hospital, General Hospital) Neonate second surgery(General hospital or higher)- burn treatment Holiday"
권역외상센터중증외상 (상급종합병원·종합병원)만1세미만 제2의수술(종병이상) 화상치료 공휴,"Regional trauma center severe trauma (Senior General Hospital, General Hospital) Under 12 months second surgery(General hospital or higher)- burn treatment Holiday"
권역외상센터중증외상 (상급종합병원·종합병원)만1세이상~만6세미만 제2의수술(종병이상) 화상치료 공휴,"Regional trauma center severe trauma (Senior General Hospital, General Hospital) More than 12 months~ Under 72 months second surgery(General hospital or higher)- burn treatment Holiday"
만1세이상~만6세미만 제2의수술-화상치료,More than 12 months~ Under 72 months second surgery- burn treatment
만1세이상~만6세미만 야간 제2의수술-화상치료,More than 12 months~ Under 72 months Nighttime second surgery- burn treatment
만1세이상~만6세미만 제2의수술-화상치료 응급,More than 12 months~ Under 72 months second surgery- burn treatment Emergency 
만1세이상~만6세미만 응급 야간 제2의수술-화상치료,More than 12 months~ Under 72 months Emergency Nighttime second surgery- burn treatment
만1세이상~만6세미만 응급 공휴일 제2의수술-화상치료,More than 12 months~ Under 72 months Emergency Holiday second surgery- burn treatment
만1세이상~만6세미만 공휴일 제2의수술-화상치료,More than 12 months~ Under 72 months Holiday second surgery- burn treatment
만1세미만 제2의수술-화상치료,Under 12 months second surgery- burn treatment
만1세미만 야간 제2의수술-화상치료,Under 12 months Nighttime second surgery- burn treatment
만1세미만 제2의수술-화상치료 응급,Under 12 months second surgery- burn treatment Emergency 
만1세미만 응급 야간 제2의수술-화상치료,Under 12 months Emergency Nighttime second surgery- burn treatment
만1세미만 응급 공휴일 제2의수술-화상치료,Under 12 months Emergency Holiday second surgery- burn treatment
만1세미만 공휴일 제2의수술-화상치료,Under 12 months Holiday second surgery- burn treatment
신생아 제2의수술-화상치료,Neonate second surgery- burn treatment
신생아 야간 제2의수술-화상치료,Neonate Nighttime second surgery- burn treatment
신생아 제2의수술-화상치료 응급,Neonate second surgery- burn treatment Emergency 
신생아 응급 야간 제2의수술-화상치료,Neonate Emergency Nighttime second surgery- burn treatment
신생아 응급 공휴일 제2의수술-화상치료,Neonate Emergency Holiday second surgery- burn treatment
신생아 공휴일 제2의수술-화상치료,Neonate Holiday second surgery- burn treatment
외과 전문의 제2의수술,General surgeon second surgery
(상급종합병원·종합병원)신생아 외과 전문의,"(Senior General Hospital, General Hospital) Neonate General surgeon "
(상급종합병원·종합병원)만1세미만 외과 전문의,"(Senior General Hospital, General Hospital) Under 12 months General surgeon "
외과 전문의 제2의수술(종병이상),General surgeon second surgery(General hospital or higher) 
(상급종합병원·종합병원)만1세이상~만6세미만 외과 전문의,"(Senior General Hospital, General Hospital) More than 12 months~ Under 72 months General surgeon "
(상급종합병원·종합병원)신생아 외과 전문의 제2의수술(종병이상),"(Senior General Hospital, General Hospital) Neonatal General surgeon second surgery(General hospital or higher) "
(상급종합병원·종합병원)만1세미만 외과 전문의 제2의수술(종병이상),"(Senior General Hospital, General Hospital) Under 12 months General surgeon second surgery(General hospital or higher) "
(상급종합병원·종합병원)만1세이상~만6세미만 외과 전문의 제2의수술(종병이상),"(Senior General Hospital, General Hospital) More than 12 months~ Under 72 months General surgeon second surgery(General hospital or higher) "
외과 전문의 야간,General surgeon Nighttime
외과 전문의 야간 제2의수술,General surgeon Nighttime second surgery
(상급종합병원·종합병원)신생아 외과 전문의 야간,"(Senior General Hospital, General Hospital) Neonatal General surgeon Nighttime"
(상급종합병원·종합병원)만1세미만 외과 전문의 야간,"(Senior General Hospital, General Hospital) Under 12 months General surgeon Nighttime"
외과 전문의 야간 제2의수술(종병이상),General surgeon Nighttime second surgery(General hospital or higher) 
(상급종합병원·종합병원)만1세이상~만6세미만 외과 전문의 야간,"(Senior General Hospital, General Hospital) More than 12 months~ Under 72 months General surgeon Nighttime"
(상급종합병원·종합병원)신생아 외과 전문의 야간 제2의수술(종병이상),"(Senior General Hospital, General Hospital) Neonate General surgeon Nighttime second surgery(General hospital or higher) "
(상급종합병원·종합병원)만1세미만 외과 전문의 야간 제2의수술(종병이상),"(Senior General Hospital, General Hospital) Under 12 months General surgeon Nighttime second surgery(General hospital or higher) "
(상급종합병원·종합병원)만1세이상~만6세미만 외과 전문의 야간 제2의수술(종병이상),"(Senior General Hospital, General Hospital) More than 12 months~ Under 72 months Nighttime General surgeon second surgery(General hospital or higher) "
외과 전문의 공휴일,General surgeon Holiday
외과 전문의 공휴일 제2의수술,General surgeon Holiday second surgery
(상급종합병원·종합병원)신생아 외과 전문의 공휴일,"(Senior General Hospital, General Hospital) Neonate General surgeon Holiday"
(상급종합병원·종합병원)만1세미만 외과 전문의 공휴일,"(Senior General Hospital, General Hospital) Under 12 months General surgeon Holiday"
외과 전문의 공휴일 제2의수술(종병이상),General surgeon Holiday second surgery(General hospital or higher) 
(상급종합병원·종합병원)만1세이상~만6세미만 외과 전문의 공휴일,"(Senior General Hospital, General Hospital) More than 12 months~ Under 72 months General surgeon Holiday"
(상급종합병원·종합병원)신생아 외과 전문의 공휴일 제2의수술(종병이상),"(Senior General Hospital, General Hospital) Neonate General surgeon Holiday second surgery(General hospital or higher) "
(상급종합병원·종합병원)만1세미만 외과 전문의 공휴일 제2의수술(종병이상),"(Senior General Hospital, General Hospital) Under 12 months General surgeon Holiday second surgery(General hospital or higher) "
(상급종합병원·종합병원)만1세이상~만6세미만 외과 전문의 공휴일 제2의수술(종병이상),"(Senior General Hospital, General Hospital) More than 12 months~ Under 72 months General surgeon Holiday second surgery(General hospital or higher) "
"(의원·치과의원(보건의료원포함))외과 전문의 야간,토요,공휴","Clinic, dental clinic(including Public Health and Medical care center) General surgeon Nighttime, Saturday, holiday "
"(의원·치과의원(보건의료원포함))외과 전문의 야간,토요,공휴 제2의수술","Clinic, dental clinic(including Public Health and Medical care center) General surgeon Nighttime, Saturday, holiday second surgery"
만1세이상~만6세미만 외과 전문의,More than 12 months~ Under 72 months General surgeon
만1세이상~만6세미만 외과 전문의 제2의수술,More than 12 months~ Under 72 months General surgeon second surgery
만1세이상~만6세미만 외과 전문의 야간,More than 12 months~ Under 72 months General surgeon Nighttime 
만1세이상~만6세미만 외과 전문의 야간 제2의수술,More than 12 months~ Under 72 months General surgeon Nighttime second surgery
만1세이상~만6세미만 외과 전문의 공휴일,More than 12 months~ Under 72 months General surgeon Holiday
만1세이상~만6세미만 외과 전문의 공휴일 제2의수술,More than 12 months~ Under 72 months General surgeon Holiday second surgery
만1세미만 외과 전문의,Under 12 months General surgeon
만1세미만 외과 전문의 제2의수술,Under 12 months General surgeon second surgery
만1세미만 외과 전문의 야간,Under 12 months General surgeon Nighttime 
만1세미만 외과 전문의 야간 제2의수술,Under 12 months General surgeon Nighttime second surgery
만1세미만 외과 전문의 공휴일,Under 12 months General surgeon Holiday
만1세미만 외과 전문의 공휴일 제2의수술,Under 12 months General surgeon Holiday second surgery
신생아 외과 전문의,Neonatal General surgeon
신생아 외과 전문의 제2의수술,Neonatal General surgeon second surgery
신생아 외과 전문의 야간,Neonatal General surgeon Nighttime 
신생아 외과 전문의 야간 제2의수술,Neonatal General surgeon Nighttime second surgery
신생아 외과 전문의 공휴일,Neonatal General surgeon Holiday
신생아 외과 전문의 공휴일 제2의수술,Neonatal General surgeon Holiday second surgery
신경외과전문의,Neurosurgeon
신경외과전문의 제2의수술,Neurosurgeon second surgery
신경외과전문의 (상급종합병원·종합병원)신생아,"Neurosurgeon (Senior General Hospital, General Hospital) Neonate"
신경외과전문의 (상급종합병원·종합병원)만1세미만,"Neurosurgeon (Senior General Hospital, General Hospital)  Under 12 months"
신경외과전문의 제2의수술(종병이상),Neurosurgeon second surgery(General hospital or higher) 
신경외과전문의 (상급종합병원·종합병원)만1세이상~만6세미만,"Neurosurgeon (Senior General Hospital, General Hospital) More than 12 months~ Under 72 months "
신경외과전문의 (상급종합병원·종합병원)신생아 제2의수술(종병이상),"Neurosurgeon (Senior General Hospital, General Hospital) Neonate second surgery(General hospital or higher) "
신경외과전문의 (상급종합병원·종합병원)만1세미만 제2의수술(종병이상),"Neurosurgeon (Senior General Hospital, General Hospital) Under 12 months second surgery(General hospital or higher) "
신경외과전문의 (상급종합병원·종합병원)만1세이상~만6세미만 제2의수술(종병이상),"Neurosurgeon (Senior General Hospital, General Hospital) More than 12 months~ Under 72 months second surgery(General hospital or higher) "
신경외과전문의 야간,Neurosurgeon Nighttime 
신경외과전문의 야간 제2의수술,Neurosurgeon Nighttime second surgery
신경외과전문의 야간 (상급종합병원·종합병원)신생아,"Neurosurgeon Nighttime  (Senior General Hospital, General Hospital) Neonate"
신경외과전문의 야간 (상급종합병원·종합병원)만1세미만,"Neurosurgeon Nighttime  (Senior General Hospital, General Hospital) Under 12 months"
신경외과전문의 야간 제2의수술(종병이상),Neurosurgeon Nighttime second surgery(General hospital or higher) 
신경외과전문의 야간 (상급종합병원·종합병원)만1세이상~만6세미만,"Neurosurgeon Nighttime  (Senior General Hospital, General Hospital) More than 12 months~ Under 72 months "
신경외과전문의 야간 (상급종합병원·종합병원)신생아 제2의수술(종병이상),"Neurosurgeon Nighttime  (Senior General Hospital, General Hospital) Neonate second surgery(General hospital or higher) "
신경외과전문의 야간 (상급종합병원·종합병원)만1세미만 제2의수술(종병이상),"Neurosurgeon Nighttime  (Senior General Hospital, General Hospital) Under 12 months second surgery(General hospital or higher) "
신경외과전문의 야간 (상급종합병원·종합병원)만1세이상~만6세미만 제2의수술(종병이상),"Neurosurgeon Nighttime  (Senior General Hospital, General Hospital) More than 12 months~ Under 72 months second surgery(General hospital or higher) "
신경외과전문의 응급,Neurosurgeon Emergency
신경외과전문의 응급 제2의수술,Neurosurgeon Emergency second surgery
신경외과전문의 응급 (상급종합병원·종합병원)신생아,"Neurosurgeon Emergency (Senior General Hospital, General Hospital) Neonate"
신경외과전문의 응급 (상급종합병원·종합병원)만1세미만,"Neurosurgeon Emergency (Senior General Hospital, General Hospital) Under 12 months"
신경외과전문의 응급 제2의수술(종병이상),Neurosurgeon Emergency second surgery(General hospital or higher) 
신경외과전문의 응급 (상급종합병원·종합병원)만1세이상~만6세미만,"Neurosurgeon Emergency (Senior General Hospital, General Hospital) More than 12 months~ Under 72 months "
신경외과전문의 응급 (상급종합병원·종합병원)신생아 제2의수술(종병이상),"Neurosurgeon Emergency (Senior General Hospital, General Hospital) Neonate second surgery(General hospital or higher) "
신경외과전문의 응급 (상급종합병원·종합병원)만1세미만 제2의수술(종병이상),"Neurosurgeon Emergency (Senior General Hospital, General Hospital) Under 12 months second surgery(General hospital or higher) "
신경외과전문의 응급 (상급종합병원·종합병원)만1세이상~만6세미만 제2의수술(종병이상),"Neurosurgeon Emergency  (Senior General Hospital, General Hospital) More than 12 months~ Under 72 months second surgery(General hospital or higher) "
신경외과전문의 응급 야간,Neurosurgeon Emergency Nighttime 
신경외과전문의 응급 야간 제2의수술,Neurosurgeon Emergency Nighttime second surgery
신경외과전문의 응급 야간 (상급종합병원·종합병원)신생아,"Neurosurgeon Emergency Nighttime  (Senior General Hospital, General Hospital) Neonate"
신경외과전문의 응급 야간 (상급종합병원·종합병원)만1세미만,"Neurosurgeon Emergency Nighttime  (Senior General Hospital, General Hospital) Under 12 months"
신경외과전문의 응급 야간 제2의수술(종병이상),Neurosurgeon Emergency Nighttime  second surgery(General hospital or higher) 
신경외과전문의 응급 야간 (상급종합병원·종합병원)만1세이상~만6세미만,"Neurosurgeon Emergency Nighttime  (Senior General Hospital, General Hospital) More than 12 months~ Under 72 months "
신경외과전문의 응급 야간 (상급종합병원·종합병원)신생아 제2의수술(종병이상),"Neurosurgeon Emergency Nighttime (Senior General Hospital, General Hospital) Neonate second surgery(General hospital or higher) "
신경외과전문의 응급 야간 (상급종합병원·종합병원)만1세미만 제2의수술(종병이상),"Neurosurgeon Emergency Nighttime (Senior General Hospital, General Hospital) Under 12 months second surgery(General hospital or higher) "
신경외과전문의 응급 야간 (상급종합병원·종합병원)만1세이상~만6세미만 제2의수술(종병이상),"Neurosurgeon Emergency Nighttime (Senior General Hospital, General Hospital) More than 12 months~ Under 72 months second surgery(General hospital or higher) "
신경외과전문의 응급 공휴일,Neurosurgeon Emergency Holiday
신경외과전문의 응급 공휴일 제2의수술,Neurosurgeon Emergency Holiday second surgery
신경외과전문의 응급 공휴일 (상급종합병원·종합병원)신생아,"Neurosurgeon Emergency Holiday (Senior General Hospital, General Hospital) Neonate"
신경외과전문의 응급 공휴일 (상급종합병원·종합병원)만1세미만,"Neurosurgeon Emergency Holiday (Senior General Hospital, General Hospital) Under 12 months"
신경외과전문의 응급 공휴일 제2의수술(종병이상),Neurosurgeon Emergency Holiday second surgery(General hospital or higher) 
신경외과전문의 응급 공휴일 (상급종합병원·종합병원)만1세이상~만6세미만,"Neurosurgeon Emergency Holiday (Senior General Hospital, General Hospital) More than 12 months~ Under 72 months "
신경외과전문의 응급 공휴일 (상급종합병원·종합병원)신생아 제2의수술(종병이상),"Neurosurgeon Emergency Holiday (Senior General Hospital, General Hospital) Neonate second surgery(General hospital or higher) "
신경외과전문의 응급 공휴일 (상급종합병원·종합병원)만1세미만 제2의수술(종병이상),"Neurosurgeon Emergency Holiday (Senior General Hospital, General Hospital) Under 12 months second surgery(General hospital or higher)"
신경외과전문의 응급 공휴일 (상급종합병원·종합병원)만1세이상~만6세미만 제2의수술(종병이상),"Neurosurgeon Emergency Holiday (Senior General Hospital, General Hospital) More than 12 months~ Under 72 months second surgery(General hospital or higher) "
신경외과전문의 공휴일,Neurosurgeon Holiday
신경외과전문의 공휴일 제2의수술,Neurosurgeon Holiday second surgery
신경외과전문의 공휴일 (상급종합병원·종합병원)신생아,"Neurosurgeon Holiday (Senior General Hospital, General Hospital) Neonate"
신경외과전문의 공휴일 (상급종합병원·종합병원)만1세미만,"Neurosurgeon Holiday (Senior General Hospital, General Hospital) Under 12 months"
신경외과전문의 공휴일 제2의수술(종병이상),Neurosurgeon Holiday second surgery(General hospital or higher) 
신경외과전문의 공휴일 (상급종합병원·종합병원)만1세이상~만6세미만,"Neurosurgeon Holiday (Senior General Hospital, General Hospital) More than 12 months~ Under 72 months "
신경외과전문의 공휴일 (상급종합병원·종합병원)신생아 제2의수술(종병이상),"Neurosurgeon Holiday (Senior General Hospital, General Hospital) Neonate second surgery(General hospital or higher) "
신경외과전문의 공휴일 (상급종합병원·종합병원)만1세미만 제2의수술(종병이상),"Neurosurgeon Holiday (Senior General Hospital, General Hospital) Under 12 months second surgery(General hospital or higher) "
신경외과전문의 공휴일 (상급종합병원·종합병원)만1세이상~만6세미만 제2의수술(종병이상),"Neurosurgeon Holiday (Senior General Hospital, General Hospital) More than 12 months~ Under 72 months second surgery(General hospital or higher) "
"신경외과전문의 의원·치과의원(보건의료원포함) 야간,토요,공휴일","Neurosurgeon dental clinics(including Public Health and Medical care center) Nighttime, Saturday, holiday"
"신경외과전문의 의원·치과의원(보건의료원포함) 야간,토요,공휴일 제2의수술","Neurosurgeon dental clinics(including Public Health and Medical care center) Nighttime, Saturday, holiday second surgery"
신경외과전문의 권역외상센터중증외상,Neurosurgeon Regional trauma center severe trauma 
신경외과전문의 권역외상센터중증외상 (상급종합병원·종합병원)신생아,"Neurosurgeon Regional trauma center severe trauma (Senior General Hospital, General Hospital) Neonate"
신경외과전문의 권역외상센터중증외상 (상급종합병원·종합병원)만1세미만,"Neurosurgeon Regional trauma center severe trauma (Senior General Hospital, General Hospital) Under 12 months"
신경외과전문의 권역외상센터중증외상 제2의수술(종병이상),Neurosurgeon Regional trauma center severe trauma  second surgery(General hospital or higher) 
신경외과전문의 권역외상센터중증외상 (상급종합병원·종합병원)만1세이상~만6세미만,"Neurosurgeon Regional trauma center severe trauma (Senior General Hospital, General Hospital) More than 12 months~ Under 72 months "
신경외과전문의 권역외상센터중증외상 (상급종합병원·종합병원)신생아 제2의수술(종병이상),"Neurosurgeon Regional trauma center severe trauma (Senior General Hospital, General Hospital) Neonate second surgery(General hospital or higher) "
신경외과전문의 권역외상센터중증외상 (상급종합병원·종합병원)만1세미만 제2의수술(종병이상),"Neurosurgeon Regional trauma center severe trauma (Senior General Hospital, General Hospital) Under 12 months second surgery(General hospital or higher) "
신경외과전문의 권역외상센터중증외상 (상급종합병원·종합병원)만1세이상~만6세미만 제2의수술(종병이상),"Neurosurgeon Regional trauma center severe trauma (Senior General Hospital, General Hospital) More than 12 months~ Under 72 months second surgery(General hospital or higher) "
신경외과전문의 권역외상센터중증외상 야간,Neurosurgeon Regional trauma center severe trauma Nighttime
신경외과전문의 권역외상센터중증외상 야간 (상급종합병원·종합병원)신생아,"Neurosurgeon Regional trauma center severe trauma Nighttime(Senior General Hospital, General Hospital) Neonate"
신경외과전문의 권역외상센터중증외상 야간 (상급종합병원·종합병원)만1세미만,"Neurosurgeon Regional trauma center severe trauma Nighttime(Senior General Hospital, General Hospital) Under 12 months"
신경외과전문의 권역외상센터중증외상 야간 제2의수술(종병이상),Neurosurgeon Regional trauma center severe trauma Nighttime  second surgery(General hospital or higher) 
신경외과전문의 권역외상센터중증외상 야간 (상급종합병원·종합병원)만1세이상~만6세미만,"Neurosurgeon Regional trauma center severe trauma Nighttime(Senior General Hospital, General Hospital) More than 12 months~ Under 72 months "
신경외과전문의 권역외상센터중증외상 야간 (상급종합병원·종합병원)신생아 제2의수술(종병이상),"Neurosurgeon Regional trauma center severe trauma Nighttime(Senior General Hospital, General Hospital) Neonate second surgery(General hospital or higher) "
신경외과전문의 권역외상센터중증외상 야간 (상급종합병원·종합병원)만1세미만 제2의수술(종병이상),"Neurosurgeon Regional trauma center severe trauma Nighttime(Senior General Hospital, General Hospital) Under 12 months second surgery(General hospital or higher) "
신경외과전문의 권역외상센터중증외상 야간 (상급종합병원·종합병원)만1세이상~만6세미만 제2의수술(종병이상),"Neurosurgeon Regional trauma center severe trauma Nighttime(Senior General Hospital, General Hospital) More than 12 months~ Under 72 months second surgery(General hospital or higher) "
신경외과전문의 권역외상센터중증외상 공휴일,Neurosurgeon Regional trauma center severe trauma holiday
신경외과전문의 권역외상센터중증외상 공휴일 (상급종합병원·종합병원)신생아,"Neurosurgeon Regional trauma center severe trauma holiday (Senior General Hospital, General Hospital) Neonate"
신경외과전문의 권역외상센터중증외상 공휴일 (상급종합병원·종합병원)만1세미만,"Neurosurgeon Regional trauma center severe trauma holiday (Senior General Hospital, General Hospital) Under 12 months"
신경외과전문의 권역외상센터중증외상 공휴일 제2의수술(종병이상),Neurosurgeon Regional trauma center severe trauma holiday  second surgery(General hospital or higher) 
신경외과전문의 권역외상센터중증외상 공휴일 (상급종합병원·종합병원)만1세이상~만6세미만,"Neurosurgeon Regional trauma center severe trauma holiday (Senior General Hospital, General Hospital) More than 12 months~ Under 72 months "
신경외과전문의 권역외상센터중증외상 공휴일 (상급종합병원·종합병원)신생아 제2의수술(종병이상),"Neurosurgeon Regional trauma center severe trauma holiday (Senior General Hospital, General Hospital) Neonate second surgery(General hospital or higher) "
신경외과전문의 권역외상센터중증외상 공휴일 (상급종합병원·종합병원)만1세미만 제2의수술(종병이상),"Neurosurgeon Regional trauma center severe trauma holiday (Senior General Hospital, General Hospital) Under 12 months second surgery(General hospital or higher) "
신경외과전문의 권역외상센터중증외상 공휴일 (상급종합병원·종합병원)만1세이상~만6세미만 제2의수술(종병이상),"Neurosurgeon Regional trauma center severe trauma holiday (Senior General Hospital, General Hospital) More than 12 months~ Under 72 months second surgery(General hospital or higher) "
신경외과전문의 신생아,Neurosurgeon Neonate
신경외과전문의 신생아 제2의수술,Neurosurgeon Neonate second surgery
신경외과전문의 신생아 야간,Neurosurgeon Neonate Nighttime
신경외과전문의 신생아 야간 제2의수술,Neurosurgeon Neonate Nighttime second surgery
신경외과전문의 신생아 응급,Neurosurgeon Neonate Emergency
신경외과전문의 신생아 응급 제2의수술,Neurosurgeon Neonate Emergency second surgery
신경외과전문의 신생아 응급 야간,Neurosurgeon Neonate Emergency Nighttime
신경외과전문의 신생아 응급 야간 제2의수술,Neurosurgeon Neonate Emergency Nighttime second surgery
신경외과전문의 신생아 응급 공휴일,Neurosurgeon Neonate Emergency holiday
신경외과전문의 신생아 응급 공휴일 제2의수술,Neurosurgeon Neonate Emergency holiday second surgery
신경외과전문의 신생아 공휴일,Neurosurgeon Neonate holiday
신경외과전문의 신생아 공휴일 제2의수술,Neurosurgeon Neonate holiday second surgery
신경외과전문의 만1세미만,Neurosurgeon Under 12 months
신경외과전문의 만1세미만 제2의수술,Neurosurgeon Under 12 months second surgery
신경외과전문의 만1세미만 야간,Neurosurgeon Under 12 months Nighttime
